rank,Youtuber,subscribers,video views,video count,category,started
70,Arm Channel TVArm Channel TV ,"302,000","93,442,196","1,490",Entertainment,2013
71,英皇娛樂 eeg music英皇娛樂 eeg music ,"302,000","469,461,349","3,725",Music,2010
72,ADSR Music Production TutorialsADSR Music Production Tutorials ,"298,000","34,584,183","2,408",Music,2013
73,華劇場精選 MQ Chinese Drama華劇場精選 MQ Chinese Drama ,"288,000","167,478,226","3,311",People & Blogs,2015
74,852郵報852郵報 ,"286,000","9,221,063",275,News & Politics,2013
75,假装冷酷的起灵假装冷酷的起灵 ,"284,000","83,163,550",138,Film & Animation,2019
76,伍妞有伍仔伍妞有伍仔 ,"283,000","151,833,080","3,376",Education,2011
77,MIRRORMIRROR ,"282,000","196,493,252",124,Entertainment,2018
78,大祥哥來了大祥哥來了 ,"282,000","69,534,486",188,People & Blogs,2019
79,环华十年环华十年 ,"281,000","83,076,953",466,Travel & Events,2017
80,BEAUTYQQBEAUTYQQ ,"280,000","70,341,304",599,Howto & Style,2009
81,ToCo International Official ChannelToCo International Official Channel ,"276,000","225,003,172","2,767",Music,2013
82,♫НеаДекват Records♫♫НеаДекват Records♫ ,"275,000","55,652,683",142,Film & Animation,2010
83,EHPMusicChannelEHPMusicChannel ,"270,044","173,704,267",635,Music,2017
84,Gavinchiu趙氏讀書生活Gavinchiu趙氏讀書生活 ,"269,000","97,691,619","1,516",News & Politics,2008
85,解忧电影站解忧电影站 ,"266,000","158,023,411",928,Film & Animation,2017
86,唔熟唔食 Cook King Room唔熟唔食 Cook King Room ,"262,000","37,277,946",587,Howto & Style,2017
87,闲D嘞闲D嘞 ,"259,000","51,442,093",246,Entertainment,2019
88,Ding DingDing Ding ,"259,000","47,680,701",273,Travel & Events,2010
89,Ling ChengLing Cheng ,"258,000","45,141,557",570,Entertainment,2010
90,香港本土力量 Hong Kong Localism Power香港本土力量 Hong Kong Localism Power ,"256,000","125,538,911","2,803",News & Politics,2015
91,Coco哥Coco哥 ,"249,000","60,688,786",578,Entertainment,2007
92,Ahhin (Hins)Ahhin (Hins) ,"246,000","68,125,571","1,456",Gaming,2008
