Youtuber,subs,view,count,category
攪屎棍 PoopStirrer攪屎棍 PoopStirrer ,11.59910316121128,17.193975334133263,5.8998973535824915,Entertainment
Kitling_雀斑妹Kitling_雀斑妹 ,11.580584113444043,16.237919269874467,4.330733340286331,People & Blogs
渔农小池渔农小池 ,11.571194373094205,18.41272770218876,7.144407180321139,People & Blogs
U Magazine HK OfficialU Magazine HK Official ,11.522875795823397,17.266161946895327,8.421562960400987,
夏目夏目 ,11.491946946585031,17.721579251609562,5.135798437050262,Film & Animation
ViuTV WorldViuTV World ,11.477298287327077,17.100289435073886,8.265650165580329,Entertainment
曾鎧琪 AliSon Tsang曾鎧琪 AliSon Tsang ,11.465833857436378,16.94285658038875,6.144185634125646,People & Blogs
Now TVNow TV ,11.460578984598019,17.15374456839974,8.641179171197228,Music
Hey JenniFAHey JenniFA ,11.45741275503997,16.319894210142994,5.707110264748875,Howto & Style
防腐辦公室防腐辦公室 ,11.436044420634271,11.025507075203857,3.4339872044851463,Gaming
TIK LEETIK LEE ,11.410892739405076,18.23441417582389,8.528330935826693,Gaming
am730am730 ,11.403110598963021,17.261632196351417,8.408493774492896,People & Blogs
20無限20無限 ,11.39975676686459,17.314390515194404,6.5638555265321274,Howto & Style
Auto Guyz Relation拍車男Auto Guyz Relation拍車男 ,11.398636318568101,16.88503882286818,5.950642552587727,Autos & Vehicles
Post76影音玩樂Post76影音玩樂 ,11.351582314561465,17.13708790650231,7.453561871643373,People & Blogs
Benja & Momo ChannelBenja & Momo Channel ,11.331403588346838,16.310596225325927,5.204006687076795,People & Blogs
24HERBS24HERBS ,11.318126386665162,17.15146492150023,5.0689042022202315,Music
瑞森老哥Reason瑞森老哥Reason ,11.312032522590838,16.03165360277937,4.2626798770413155,People & Blogs
盖世猪猪丶盖世猪猪丶 ,11.283512300642423,16.494914340476363,4.795790545596741,Film & Animation
kikolimakeupkikolimakeup ,11.279731577802517,15.91246104453926,5.308267697401205,Howto & Style
Freeminder EmiFreeminder Emi ,11.278468153755746,16.73040662160508,6.300785794663244,People & Blogs
麥兜Mcdull麥兜Mcdull ,11.272126978417297,16.988935190088554,4.6913478822291435,Film & Animation
MC張天賦MC張天賦 ,11.258033215341438,16.980298999136718,3.367295829986474,Music
Yelo黃曉晴Yelo黃曉晴 ,11.25674205957782,15.425400968005889,4.0943445622221,People & Blogs
Rational Football Analysis理性分析Rational Football Analysis理性分析 ,11.25674205957782,16.374966314734575,6.1903154058531475,Sports
WillWill FunHouseWillWill FunHouse ,11.231887935237117,17.127201306618712,7.684324067681155,Gaming
麦总去哪吃麦总去哪吃 ,11.231887935237117,17.58781070025366,5.739792912179234,Howto & Style
CommaComma ,11.226575837752225,16.086361300927898,6.206575926724928,Education
Peachy Bunny BakesPeachy Bunny Bakes ,11.188579408146856,15.469358388615484,4.77912349311153,Howto & Style
AnshelesAnsheles ,11.16761427968181,11.197433593212509,0.6931471805599453,Entertainment
ValorGearsValorGears ,11.153389288750464,16.47442352467515,6.843749949006225,Gaming
信報財經新聞信報財經新聞 ,11.141861783579396,16.966116321483895,8.928242677818302,News & Politics
后宫冷婶儿后宫冷婶儿 ,11.136047813713976,17.58001578714325,5.777652323222656,Howto & Style
男人EEETV男人EEETV ,11.103452335464524,15.847297702746777,4.990432586778736,Comedy
