Youtuber,subs,view,count,category
RickyKAZAFRickyKAZAF ,12.688498794774466,17.440891376738605,6.489204931325317,Howto & Style
Alfred ChanAlfred Chan ,12.688498794774466,18.012644999588204,5.755742213586912,Travel & Events
霸宠恋剧社霸宠恋剧社 ,12.685407602204794,19.392609113872936,8.014004994779459,Entertainment
KZeeKZee ,12.647548191161372,18.971249017715824,8.225235324101668,Gaming
mandies kwok 肥蛙mandies kwok 肥蛙 ,12.647548191161372,17.68068993349532,5.081404364984463,Comedy
Day Day CookDay Day Cook ,12.637855061955712,18.01522459580406,8.06777619577889,Howto & Style
Arm Channel TVArm Channel TV ,12.618182296357007,18.35285357848036,7.306531398939505,Entertainment
英皇娛樂 eeg music英皇娛樂 eeg music ,12.618182296357007,19.967096529475135,8.22282213081366,Music
ADSR Music Production TutorialsADSR Music Production Tutorials ,12.604848765487542,17.358906996779865,7.786551806428712,Music
華劇場精選 MQ Chinese Drama華劇場精選 MQ Chinese Drama ,12.570715759118084,18.936363906749587,8.105005537547246,People & Blogs
852郵報852郵報 ,12.56374708980199,16.037000881728716,5.616771097666572,News & Politics
假装冷酷的起灵假装冷酷的起灵 ,12.556729517143344,18.236319708835634,4.927253685157205,Film & Animation
伍妞有伍仔伍妞有伍仔 ,12.553202176625375,18.838292317498627,8.124446855715847,Education
MIRRORMIRROR ,12.54966234992025,19.096138647717005,4.820281565605037,Entertainment
大祥哥來了大祥哥來了 ,12.54966234992025,18.057333388906645,5.236441962829949,People & Blogs
环华十年环华十年 ,12.546109948315882,18.235277880806123,6.144185634125646,Travel & Events
BEAUTYQQBEAUTYQQ ,12.542544882151386,18.068869723365427,6.395261598115449,Howto & Style
ToCo International Official ChannelToCo International Official Channel ,12.528156144699286,19.2316250578471,7.925518979786926,Music
♫НеаДекват Records♫♫НеаДекват Records♫ ,12.524526376648708,17.834640846563197,4.955827057601261,Film & Animation
EHPMusicChannelEHPMusicChannel ,12.506340187666453,18.972864796252153,6.453624998892692,Music
Gavinchiu趙氏讀書生活Gavinchiu趙氏讀書生活 ,12.502466658583977,18.397326330324226,7.323830566202317,News & Politics
解忧电影站解忧电影站 ,12.491251587763836,18.878253750901095,6.833031732786201,Film & Animation
唔熟唔食 Cook King Room唔熟唔食 Cook King Room ,12.476099782743233,17.43391244969727,6.375024819828097,Howto & Style
闲D嘞闲D嘞 ,12.464583340681674,17.7559673252463,5.5053315359323625,Entertainment
Ding DingDing Ding ,12.464583340681674,17.6800372827945,5.60947179518496,Travel & Events
Ling ChengLing Cheng ,12.460714863903755,17.625313821448216,6.345636360828596,Entertainment
香港本土力量 Hong Kong Localism Power香港本土力量 Hong Kong Localism Power ,12.4529327234617,18.64812631628999,7.938445551164788,News & Politics
Coco哥Coco哥 ,12.425208175446844,17.921269494316533,6.359573868672378,Entertainment
Ahhin (Hins)Ahhin (Hins) ,12.4130868149145,18.03686319256393,7.283448228756631,Gaming
Yaki WongYaki Wong ,12.375815420117268,17.278581475342772,5.087596335232384,Travel & Events
香港花生香港花生 ,12.358793732547838,17.30195284621439,8.35490952835879,News & Politics
Ashly 老陳Ashly 老陳 ,12.35017298950393,13.39829214963004,1.3862943611198906,People & Blogs
Frankie TechFrankie Tech ,12.345834587905333,17.883562136017613,6.984716320118266,Science & Technology
TVB Drama - Crime & Mystery 神秘頻道 TVB Drama - Crime & Mystery 神秘頻道 ,12.345834587905333,16.380955561803617,6.625392368007956,Entertainment
Eason ChanEason Chan ,12.345834587905333,18.57778100092548,4.248495242049359,Entertainment
Elva NiElva Ni ,12.345834587905333,16.685866495840305,5.298317366548036,People & Blogs
YOUKU SHOWYOUKU SHOW ,12.337100907936577,18.3380537523919,8.955448122347393,Entertainment
Muse木棉花-HKMuse木棉花-HK ,12.332705296463539,17.68538994591316,8.316300249036848,Film & Animation
冷淡熊冷淡熊 ,12.314927050442256,18.446300818999365,5.7430031878094825,Film & Animation
馬米高 Michael MMG馬米高 Michael MMG ,12.310432660854417,16.862639643047732,5.327876168789581,Comedy
屯門畫室 Tuen Mun Studio屯門畫室 Tuen Mun Studio ,12.301382825334498,16.931920385123927,6.837332814685591,Education
Angela Hui 許靖韻「小背心」Angela Hui 許靖韻「小背心」 ,12.269047444691562,17.97422520526439,5.14166355650266,Music
DONT BLINKDONT BLINK ,12.26434155365415,17.913165385208544,5.855071922202427,Entertainment
suechanggsuechangg ,12.254862809699606,16.887274691098888,4.543294782270004,People & Blogs
TD TSUNTD TSUN ,12.245293358683455,18.088725255449308,6.444131256700441,Gaming
IC实验室IC实验室 ,12.245293358683455,17.051535335383544,5.313205979041787,Science & Technology
Highlight NBAHighlight NBA ,12.235631447771718,19.04177231405353,7.890208213109961,Sports
知識命理知識命理 ,12.235631447771718,14.38657880118132,7.455298485683291,People & Blogs
啤梨頻道BarryMa TV啤梨頻道BarryMa TV ,12.225875272826354,19.161262408257393,8.67709870892586,News & Politics
EWway Music Channel 東西世界音樂頻道EWway Music Channel 東西世界音樂頻道 ,12.225875272826354,19.215233918847467,7.703459047867175,Music
mansonovomansonovo ,12.220961258023925,17.67088981238495,5.6937321388027,Film & Animation
Kiki & May - 隨意吃樂部Kiki & May - 隨意吃樂部 ,12.220961258023925,17.54785392166552,5.652489180268651,People & Blogs
AROGANTNÍAROGANTNÍ ,12.211060187041213,17.23194798461342,4.997212273764115,Entertainment
陳怡ChanYee陳怡ChanYee ,12.196022309676673,18.103530587810656,6.895682697747868,Education
香港01香港01 ,12.190959007720126,19.087746599482024,9.365033761652663,News & Politics
灿星官方频道Canxing Media Official Channel灿星官方频道Canxing Media Official Channel ,12.185869938212655,18.983422116441005,8.540714386457584,Entertainment
FlashingDroidFlashingDroid ,12.180754837545884,17.772714460080355,6.879355804460439,Science & Technology
雨僑Ava Liu雨僑Ava Liu ,12.170445467887022,17.392428899217578,5.5093883366279774,Entertainment
The Best by familyThe Best by family ,12.165250651009918,15.95758752197487,6.2766434893416445,Entertainment
Stand News 立場新聞Stand News 立場新聞 ,12.165250651009918,16.580817331051726,6.590301048196686,News & Politics
Sadhguru 繁體中文Sadhguru 繁體中文 ,12.14950229404178,16.673714605041194,5.869296913133774,People & Blogs
妈咪说MommyTalk妈咪说MommyTalk ,12.14950229404178,16.73846986016199,5.857933154483459,Science & Technology
Ordinary Gaming Studio平民遊戲工作室Ordinary Gaming Studio平民遊戲工作室 ,12.144197241812087,17.50087810253659,5.8664680569332965,Education
黃子華 Dayo Wong 棟篤笑 - 官方頻道黃子華 Dayo Wong 棟篤笑 - 官方頻道 ,12.133501952695338,17.476576142805254,6.4457198193855785,Nonprofits & Activism
Mobile Legends: Bang Bang EspañolMobile Legends: Bang Bang Español ,12.133501952695338,17.58751875304885,5.634789603169249,Gaming
ben's gadget reviewsben's gadget reviews ,12.117241431823558,17.58913420427891,6.400257445308821,Science & Technology
桂平光哥桂平光哥 ,12.117241431823558,18.943461293967548,7.86172707782398,People & Blogs
夜與白鯨夜與白鯨 ,12.111761966058932,17.906201236208645,5.3230099791384085,Film & Animation
Dou TVDou TV ,12.111761966058932,17.1042953199365,5.529429087511423,Entertainment
Ho Talk Duck 好Talk得Ho Talk Duck 好Talk得 ,12.100712129872347,10.825800116728777,3.1780538303479458,People & Blogs
Edwin H.Edwin H. ,12.089538829274222,16.71720832269961,5.655991810819852,Entertainment
MM - Mill MILKMM - Mill MILK ,12.089538829274222,16.403185040310063,4.248495242049359,
歪點子實驗室歪點子實驗室 ,12.083905011555967,17.11715272573419,4.990432586778736,Howto & Style
珍言真語 // 大紀元珍言真語 // 大紀元 ,12.072541252905651,17.84525014350735,7.165493475060845,
Now 財經 新聞Now 財經 新聞 ,12.072541252905651,18.108063860249153,8.978282203272398,News & Politics
Lok CheungLok Cheung ,12.061046873479915,15.83237551930808,5.204006687076795,People & Blogs
小贝的游戏食堂小贝的游戏食堂 ,12.049418835484797,18.19774292147453,6.413458957167357,Gaming
RedisPollyRedisPolly ,12.049418835484797,16.485006330562946,4.890349128221754,People & Blogs
豪Dee豪Dee ,12.049418835484797,16.923670709434376,4.962844630259907,People & Blogs
宅男俱樂部宅男俱樂部 ,12.043553716032399,16.86645982312817,5.966146739123692,Gaming
司马南频道司马南频道 ,12.043553716032399,17.7626751991792,7.557994958530806,People & Blogs
徐時論 TsuisTalk徐時論 TsuisTalk ,12.031719258385396,17.30817900186479,6.626717749249025,News & Politics
SzeTingWong黃詩婷SzeTingWong黃詩婷 ,12.025749091398891,16.667611116220936,3.9889840465642745,Music
媽媽開心廚房媽媽開心廚房 ,12.025749091398891,13.541609095235259,7.262628600974241,Howto & Style
Boba BeatsBoba Beats ,12.025749091398891,19.1583579414125,6.71295620067707,Music
odyleungodyleung ,12.025749091398891,16.58978910165124,5.493061443340548,People & Blogs
SmilemiannSmilemiann ,12.013700752882718,17.796389756205933,6.368187186350492,Howto & Style
KingsanKingsan ,12.0015054797889,15.77052343689347,4.430816798843313,Gaming
Cynthia IpCynthia Ip ,12.0015054797889,17.051411548708092,5.940171252720432,Howto & Style
老洋咩咩老洋咩咩 ,11.99535161421452,16.040939838855557,5.393627546352362,Gaming
Susana ChachaSusana Chacha ,11.982929094215963,16.860959138113945,5.780743515792329,Howto & Style
爱好恐怖片的美男子爱好恐怖片的美男子 ,11.982929094215963,17.629336462438424,5.375278407684165,Film & Animation
